Code,Name,Country
10001,Aachen Berliner Ring,DE
10002,Aachen Hbf,DE
10003,Aachen Nord,DE
10004,Aachen Schanz,DE
10005,Aachen Süd,DE
10006,Aachen Süd Grenze,DE
10007,Aachen West,DE
10008,Aachen West Gbf,DE
10009,Aachen West Grenze,DE
10010,Aachen West Pbf,DE
10011,Aachen West Westkopf,DE
10012,Aachen-Gemmenich,DE
10013,Aachen-Rothe Erde,DE
10014,Aachen-Rothe Erde Anst Wertz,DE
10015,Aachen-Rothe Erde Gbf,DE
10016,Aachen-Rothe Erde Pbf,DE
10017,Aalen,DE
10018,Abelitz,DE
10019,Abendstern,DE
10020,Abensberg,DE
10021,Accum (Kr Friesland),DE
10022,Achern,DE
10023,Achern                            (Bstg),DE
10024,Achern (F),DE
10025,Achern DB/SWEG,DE
10026,Achim,DE
10027,Achim NI/HB,DE
10028,Achmer,DE
10029,Achmer NI/NRW,DE
10030,Achmer Süd,DE
10031,Achterwehr,DE
10032,Ackendorf,DE
10033,Adamsdorf,DE
10034,Adelebsen,DE
10035,Adelschlag,DE
10036,Adelsdorf (Mittelfr),DE
10037,Adelsheim Nord,DE
10038,Adelsheim Ost,DE
10039,Adenau,DE
10040,Adendorf,DE
10041,Adorf (Erzgeb),DE
10042,Adorf (Vogtl),DE
10043,Adorf (Vogtl) DB-Grenze,DE
10044,Affaltrach,DE
10045,Agatharied,DE
10046,Agathenburg,DE
10047,Aglasterhausen,DE
10048,Aha,DE
10049,Ahaus,DE
10050,Ahlbeck Grenze,DE
10051,Ahlbeck Ostseetherme,DE
10052,Ahlbeck Staatsgrenze,DE
10053,Ahlem,DE
10054,Ahlen (Westf),DE
10055,Ahlen (Westf) Gbf,DE
10056,Ahlen (Westf) Notbahnsteig,DE
10057,Ahlhorn,DE
10058,Ahlshausen,DE
10059,Ahlten,DE
10060,Ahnatal-Casselbreite,DE
10061,Ahnatal-Heckershausen,DE
10062,Ahnatal-Weimar,DE
10063,Ahrain,DE
10064,Ahrbrück,DE
10065,Ahrdorf (Ahr),DE
